run_date,severity,issue_type,fund_code,document_id,description,recommended_action,status
2026-06-06,info,missing_meeting_date,,undated_audits_cedar_rapids_csd_2022,No meeting/report date for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2022.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_cedar_rapids_csd_2023,No source_url recorded for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2023.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_cedar_rapids_csd_2023,No meeting/report date for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2023.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_cedar_rapids_csd_2024,No source_url recorded for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2024.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_cedar_rapids_csd_2024,No meeting/report date for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2024.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_cedar_rapids_csd_2025,No source_url recorded for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2025.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_cedar_rapids_csd_2025,No meeting/report date for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2025.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_college_csd_2020,No source_url recorded for 'data/raw/peer_districts/audits/College CSD-2020.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_college_csd_2020,No meeting/report date for 'data/raw/peer_districts/audits/College CSD-2020.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_college_csd_2021,No source_url recorded for 'data/raw/peer_districts/audits/College CSD-2021.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_college_csd_2021,No meeting/report date for 'data/raw/peer_districts/audits/College CSD-2021.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_college_csd_2022,No source_url recorded for 'data/raw/peer_districts/audits/College CSD-2022.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_college_csd_2022,No meeting/report date for 'data/raw/peer_districts/audits/College CSD-2022.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_college_csd_2023,No source_url recorded for 'data/raw/peer_districts/audits/College CSD-2023.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_college_csd_2023,No meeting/report date for 'data/raw/peer_districts/audits/College CSD-2023.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_college_csd_2024,No source_url recorded for 'data/raw/peer_districts/audits/College CSD-2024.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_college_csd_2024,No meeting/report date for 'data/raw/peer_districts/audits/College CSD-2024.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_college_csd_2025,No source_url recorded for 'data/raw/peer_districts/audits/College CSD-2025.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_college_csd_2025,No meeting/report date for 'data/raw/peer_districts/audits/College CSD-2025.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_davenport_csd_2020,No source_url recorded for 'data/raw/peer_districts/audits/Davenport CSD-2020.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_davenport_csd_2020,No meeting/report date for 'data/raw/peer_districts/audits/Davenport CSD-2020.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_davenport_csd_2021,No source_url recorded for 'data/raw/peer_districts/audits/Davenport CSD-2021.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_davenport_csd_2021,No meeting/report date for 'data/raw/peer_districts/audits/Davenport CSD-2021.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_davenport_csd_2022,No source_url recorded for 'data/raw/peer_districts/audits/Davenport CSD-2022.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_davenport_csd_2022,No meeting/report date for 'data/raw/peer_districts/audits/Davenport CSD-2022.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_davenport_csd_2023,No source_url recorded for 'data/raw/peer_districts/audits/Davenport CSD-2023.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_davenport_csd_2023,No meeting/report date for 'data/raw/peer_districts/audits/Davenport CSD-2023.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_davenport_csd_2024,No source_url recorded for 'data/raw/peer_districts/audits/Davenport CSD-2024.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_davenport_csd_2024,No meeting/report date for 'data/raw/peer_districts/audits/Davenport CSD-2024.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_davenport_csd_2025,No source_url recorded for 'data/raw/peer_districts/audits/Davenport CSD-2025.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_davenport_csd_2025,No meeting/report date for 'data/raw/peer_districts/audits/Davenport CSD-2025.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_des_moines_independent_csd_2020,No source_url recorded for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2020.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_des_moines_independent_csd_2020,No meeting/report date for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2020.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_des_moines_independent_csd_2021,No source_url recorded for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2021.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_des_moines_independent_csd_2021,No meeting/report date for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2021.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_des_moines_independent_csd_2022,No source_url recorded for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2022.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_des_moines_independent_csd_2022,No meeting/report date for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2022.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_des_moines_independent_csd_2023,No source_url recorded for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2023.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_des_moines_independent_csd_2023,No meeting/report date for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2023.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_des_moines_independent_csd_2024,No source_url recorded for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2024.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_des_moines_independent_csd_2024,No meeting/report date for 'data/raw/peer_districts/audits/Des Moines Independent CSD-2024.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
